id,artist,title,lyrics,
11,Madonna,Like a Prayer,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home
When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you there
I hear your voice
It's like an angel sighin'
I have no choice
I hear your voice
Feels like flying
I close my eyes
Oh God I think I'm fallin'
Out of the sky
I close my eyes
Heaven help me
When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you there
Like a child
You whisper softly to me
You're in control
Just like a child
Now I'm dancing
It's like a dream
No end and no beginning
You're here with me
It's like a dream
Let the choir sing
When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you there
When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel a power
Just like a prayer, you know I'll take you there
Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home
Just like a prayer (oh-oh), your voice can take me there (oh-oh)
Just like a muse to me (oh-oh), you are a mystery (oh-oh)
Just like a dream (oh-oh), you are not what you seem
Just like a prayer, no choice your voice can take me there
mmm mm
(Just like a prayer, I'll take you there) I'll take you there
(It's like a dream to me) whoa oh-oh-oh
(Just like a prayer, I'll take you there) I'll take you there
(It's like a dream to me) oh yeah, oh yeah yeah yeah yeah
(Just like a prayer, I'll take you there) oh yeah yeah yee
(It's like a dream to me) whoa oh-oh
Just like a prayer, your voice can take me there (just like a prayer)
Just like a muse to me, you are a mystery (your voice can take me there)
Just like a dream, you are not what you seem (just like a prayer)
Just like a prayer, no choice your voice can take me there
Just like a prayer, your voice can take me there (just like a prayer)
Just like a muse to me, you are a mystery (your voice can take me there)
Just like a dream, you are not what you seem (just like a prayer)
Just like a prayer, no choice your voice can take me there
your voice can take me there
(Your voice can take me there) just like a prayer
(Just like a prayer)
(Just like a prayer)
(Your voice can take me there)
(Just like a prayer)
(Just like a prayer)
(Your voice can take me there)
(Just like a prayer)",
12,John Lennon,Imagine,"Imagine there's no heaven
It's easy if you try
No hell below us
Above us only sky
Imagine all the people living for today

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too
Imagine all the people living life in peace, you

You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man
Imagine all the people sharing all the world, you

You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will be as one",
13,Joan Osborne,One of Us,"If God had a name what would it be?
And would you call it to his face?
If you were faced with Him in all His glory
What would you ask if you had just one question?
And yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah
What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home?
If God had a face what would it look like?
And would you want to see
If seeing meant that you would have to believe
In things like heaven and in Jesus and the Saints
And all the prophets?
And yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah
What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home?
Just tryin' to make his way home
Back up to heaven all alone
Nobody callin' on the phone
'Cept for the Pope, maybe in Rome
And yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah
What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home?
Just tryin' to make his way home
Like a holy rolling stone?
Back up to heaven all alone
Just tryin' to make his way home
Nobody callin' on the phone
'Cept for the Pope maybe in Rome",
14,Kanye West,I Am a God,"Blazin', mi don't want dem
Mi need dem
Blazin'
Suh mi tek har outta bugah red and put her in a tall skirt
And now she find out what life is really worth
No to X rated
Yo mi tek har outta bugah red and put her in a tall skirt
And now she find out what life is really worth
No to X rated
I am a God
I am a God
I am a God
I am a God
Hurry up with my damn massage
Hurry up with my damn m?nage
Get the Porsche out the damn garage
I am a God
Even though I'm a man of God
My whole life in the hand of God
So y'all better quit playing with God
Soon as they like you make 'em unlike you
'Cause kissing people ass is so unlike you
The only rapper compared to Michael
So here's a few hating-ass niggas to fight you
And here's a few snake-ass niggas to bite you
And I don't even wanna hear what some niggas might do
Old niggas mentally still in high school
Since the tight jeans they ain't never liked you
Pink-ass polos with a fucking backpack
But everybody know you brought real rap back
Nobody had swag, man, we the Rat Pack
Virgil, Pyrex, Don C snapback
Ibn diamond, Chi-town shining
Monop' in this bitch, changed the climate
Hop in this bitch to give Saint the garment
Until the day I get struck by lightning
I am a God
So hurry up with my damn massage
In a French-ass restaurant
Hurry up with my damn croissants
I am a God
I am a God
I am a God
I just talked to Jesus
He said, ""What up Yeezus?""
I said, ""Shit I'm chilling
Trying to stack these millions""
I know he the most high
But I am a close high
Mi casa, su casa
That's our cosa nostra
I am a God
I am a God
I am a God
Ain't no way I'm giving up, I'm a God",
15,Pet Shop Boys,It¡¦s a Sin,"When I look back upon my life
It's always with a sense of shame
I've always been the one to blame
For everything I long to do
No matter when or where or who
Has one thing in common too
It's a, it's a, it's a, it's a sin
It's a sin
Everything I've ever done
Everything I ever do
Every place I've ever been
Everywhere I'm going to
It's a sin
At school they taught me how to be
So pure in thought and word and deed
They didn't quite succeed
For everything I long to do
No matter when or where or who
Has one thing in common too
It's a, it's a, it's a, it's a sin
It's a sin
Everything I've ever done
Everything I ever do
Every place I've ever been
Everywhere I'm going to
It's a sin
Father forgive me
I tried not to do it
Turned over a new leaf
Then tore right through it
Whatever you taught me
I didn't believe it
Father you fought me
'Cause I didn't care
And I still don't understand
So I look back upon my life
Forever with a sense of shame
I've always been the one to blame
For everything I long to do
No matter when or where or who
Has one thing in common too
It's a, it's a, it's a, it's a sin
It's a sin
Everything I've ever done
Everything I ever do
Every place I've ever been
Everywhere I'm going to
It's a sin
It's a
It's a
It's a
It's a sin
It's a sin
It's a sin
It's a sin
It's a sin",
16,Tim Minchin,Pope song (+Disco),"Fuck the motherfucker
Fuck the motherfucker
Fuck the motherfucker
He's a fucking motherfucker

Fuck the motherfucker
Fuck the fucking fucker
Fuck the motherfucker
He's a total fucking fucker

Fuck the motherfucker
Fuck the motherfucker
Fuck the motherfucker
Fucking fuck the motherfucker

Fuck the motherfucker
Fuck the motherfucking Pope.


Fuck the motherfucker
And fuck you, motherfucker
If you think that motherfucker is sacred
If you cover for another motherfucker
Who's a kiddie fucker
Fuck you, you're no better
Than the motherfucking rapist

And if you don't like the swearing
That this motherfucker forced from me
And reckon it shows moral
Or intellectual paucity
Then fuck you, motherfucker
This is language one employs
When one is fucking cross
About fuckers fucking boys

I don't give a fuck if calling
The Pope a motherfucker
Means you unthinkingly brand me
An unthinking apostate

This has nowt to do with other
Fucking Godly motherfuckers
I'm not interested now
In fucking scriptural debate

There are other fucking songs
And there are other fucking ways
I'll be a religious apologist
On other fucking days


And the fact remains if you protect
A single kiddie fucker
The Pope, or Prince or plumber
You're a fucking motherfucker

You see I don't give a fuck about
What any other fucker
Believes about Jesus
And his motherfucking mother

I've no problem with the spiritual beliefs
Of all these fuckers
While those beliefs don't impact
On the happiness of others

But if you build your Church on claims
Of fucking moral authority
And with threats of Hell impose it
On others in society

Then you, you motherfuckers
Can expect some fucking wrath
When it turns out you've been fucking us
In our motherfucking asses

So fuck the motherfucker
And fuck you, motherfucker
If you're still a motherfucking Papist
If he covered for a single motherfucker
Who's a kiddie fucker
Fuck the motherfucker
He's as evil as the rapist

And if you look into your motherfucking heart
And tell me true
If this motherfucking stupid fucking
Song offended you
With its filthy fucking language
And its fucking disrespect
If it made you feel angry
Go ahead and write a letter
But if you find me more offensive
Than the fucking possibility
That the Pope protected priests
While they were getting fucking fiddly
Then listen to me motherfucker
This here is a fact:
You are just as morally misguided
As that motherfucking, power hungry
Self-aggrandised bigot
In the stupid fucking hat.",
17,Tori Amos ,God,"God sometimes you just don't come through
God sometimes you just don't come through
Do you need a woman to look after you
God sometimes you just don't come through
You make pretty daisies pretty daisies love
I gotta find what you're doing about things here
A few witches burning gets a little toasty here
I gotta find why you always go when the wind blows
Tell me you're crazy maybe then I'll understand
You got your nine iron in the back seat just in case
Heard you've gone south well babe you love your new four wheel
I gotta find why you always go when the wind blows
Will you even tell her if you decide to make the sky fall
Will you even tell her if you decide to make the sky
God sometimes you just don't come through
God sometimes you just don't come through
Do you need a woman to look after you
God sometimes you just don't come through",
18,Depeche Mode,Blasphemous Rumours,"Girl of sixteen
Whole life ahead of her
Slashed her wrists
Bored with life
Didn't succeed
Thank the Lord
For small mercies
Fighting back the tears
Mother reads the note again
Sixteen candles burn in her mind
She takes the blame
It's always the same
She goes down on her knees and prays
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
Girl of eighteen
Fell in love with everything
Found new life in Jesus Christ
Hit by a car
Ended up
On a life support machine
Summer's day
As she passed away
Birds were singing
In the summer's sky
Then came the rain
And once again
A tear fell
From her mother's eye
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him laughing
I don't want to start
Any blasphemous rumors
But I think that God's
Got a sick sense of humor
And when I die
I expect to find Him",
19,Lady Gaga,Judas,"Oh, whoa-whoa, oh-oh
I'm in love with Judas, Judas
Oh-oh-oh-oh-oh
I'm in love with Judas, Judas
Judas, Juda-ah-ah, Judas, Juda-ah-ah
Judas, Juda-ah-ah, Judas, Gaga
Judas, Juda-ah-ah, Judas, Juda-ah-ah
Judas, Juda-ah-ah, Judas, Gaga
When he calls to me, I am ready
I'll wash his feet with my hair if he needs
Forgive him when his tongue lies through his brain
Even after three times, he betrays me
Ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah
I'll bring him down, bring him down, down
Ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah
A king with no crown, king with no crown
I'm just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
I'm just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
Oh, whoa-whoa, oh-oh
I'm in love with Judas, Judas
Oh-oh-oh-oh-oh
I'm in love with Judas, Judas
Judas, Juda-ah-ah, Judas, Juda-ah-ah
Judas, Juda-ah-ah, Judas, Gaga
I couldn't love a man so purely
Even prophets forgave his goofy way
I've learned love is like a brick, you can
Build a house or sink a dead body
Ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah
I'll bring him down, bring him down, down
Ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah
A king with no crown, king with no crown
I'm just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
I'm just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
Oh, whoa-whoa, oh-oh
I'm in love with Juda-as, Juda-as
Oh-oh-oh-oh-oh
I'm in love with Juda-as, Juda-as
Ew
In the most Biblical sense, I am beyond repentance
Fame hooker, prostitute, wench vomits her mind
But in the cultural sense, I just speak in future tense
Judas, kiss me if offensed, or wear ear condom next time
I wanna love you
But something's pulling me away from you
Jesus is my virtue
And Judas is the demon I cling to
I cling to
Just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
I'm just a Holy Fool, oh, baby, it's so cruel
But I'm still in love with Judas, baby
Oh, whoa-whoa, oh-oh
I'm in love with Judas, Judas
Oh-oh-oh-oh-oh
I'm in love with Judas, Judas
Judas, Juda-ah-ah, Judas, Juda-ah-ah
Judas, Juda-ah-ah, Judas, Gaga",
20,John Lennon,God,"God is a concept
By which we measure
Our pain
I'll say it again
God is a concept
By which we measure
Our pain
I don't believe in magic
I don't believe in I-Ching
I don't believe in Bible
I don't believe in Tarot
I don't believe in Hitler
I don't believe in Jesus
I don't believe in Kennedy
I don't believe in Buddha
I don't believe in Mantra
I don't believe in Gita
I don't believe in Yoga
I don't believe in Kings
I don't believe in Elvis
I don't believe in Zimmerman
I don't believe in Beatles
I just believe in me
Yoko and me
That's reality
Dream is over
What can I say?
The dream is over
Yesterday
I was the dreamweaver
But now I'm reborn
I was the walrus
But now I'm John
And so dear friends
You just have to carry on
The dream is over",
21,The Damned,Anti-Pope,"I'm going down to church tonight
Take me back to when I was eight
But I don't mean to pray
I'm gonna nick the collection plate
I've got nothing against church
Or any people that go there and show that
They're ignorant, I don't understand
A congregation at weekends can change their behavior
So many people are weak in their lives
And seek guidance from the pedlars of hope
As you know I used to go there myself
Until the day I became antipope
We're gonna have some fun tonight
Let's spread the news around the town
That the vicar's a transvestite
With a fetish for ropes and gowns
I've got nothing against church
Or any people that go there and show that
They're ignorant, I don't understand
A congregation at weekends can change their behavior
Religion doesn't mean a thing
Its just another way of being right wing
I think sex films are okay
I don't dig that all the way
I've got nothing against church
Or any people that go there and show that
They're ignorant, I don't understand
A congregation at weekends can change their behavior",
22,Slayer,Jesus Saves,"You go to the church; you kiss the cross
You will be saved at any cost
You have your own reality: Christianity
You spend your life just kissing ass
A trait that's grown as time has passed
You think the world will end today
You praise the Lord, that's all you say

Jesus saves
Listen to you pray
You think you'll see the pearly gates
When Death takes you away

For all respect, you cannot lust
In an invisible man, you place your trust
Indirect dependency
Eternal attempt at amnesty
He will decide who lives and dies
Depopulate, satanic rise
You will be an accessory
Irreverence and blasphemy

Jesus saves
No need to pray
The gates of pearl have turned to gold
It seems you've lost your way

Jesus saves
No words of praise
No Promised Land to take you to
There is no other way",
23,XTC ,Dear God,"Dear God, hope you get the letter, and-
I pray you can make it better down here
I don't mean a big reduction in the price of beer
But all the people that you made in your image
See them starving on their feet
'Cause they don't get enough to eat from God
I can't believe in you
Dear God, sorry to disturb you, but-
I feel that I should be heard loud and clear
We all need a big reduction in amount of tears
And all the people that you made in your own image
See them fighting in the street
'Cause they can't make opinions meet about God
I can't believe in you
Did you make disease and the diamond blue?
Did you make mankind after we made you
And the devil too?
Dear God, don't know if you noticed, but-
Your name is on a lot of quotes in this book
And us crazy humans wrote it, you should take a look
And all the people that you made in your own image
Still believing that junk is true
Well, I know it ain't so, and you know
Dear God, I can't believe in-
I don't believe in-
I won't believe in Heaven and Hell
No saints, no sinners, no devil as well
No pearly gates, no thorny crown
You're always letting us humans down
The wars you bring, the babes you drown
Those lost at sea and never found
And it's the same the whole world 'round
The hurt I see helps to compound
The Father, Son, and Holy Ghost
Is just somebody's unholy hoax
And if you're up there, you'll perceive
That my heart's here upon my sleeve
If there's one thing I don't believe in
It's you
Dear God",
24,Nine Inch Nails,Heresy,"He sewed his eyes shut because he is afraid to see
He tries to tell me what I put inside of me
He got the answers to ease my curiosity
He dreamed a god up and called it Christianity
God is dead
And no one cares
If there is a hell
I'll see you there
He flexed his muscles to keep his flock of sheep in line
He made a virus that would kill off all the swine
His perfect kingdom of killing, suffering and pain
Demands devotion, atrocities done in his name
God is dead
And no one cares
If there is a hell
I'll see you there
Your god is dead
And no one cares
If there is a hell
I'll see you there
Will you die for this?
Will you die for this?
Will you die for this?
Will you die for this?
God is dead
And no one cares
If there is a hell
I'll see you there (your god is dead)
God is dead (and no one cares)
And no one cares (drowning in his own hypocrisy)
If there is a hell (burning with your God in humility)
I'll see you there",
25,Modest Mouse,Bukowski,"Woke up this morning and it seemed to me,
That every night turns out to be
A little more like Bukowski.
And yeah, I know he's a pretty good read.
But God who'd want to be?
God who'd want to be such an asshole?
God who'd want to be?
God who'd want to be such an asshole?
Well we sat on the edge of the river,
The crowd screamed, ""Sacrifice the liver!""
If God takes life, he's an Indian giver.
So tell me now why, you'll tell me never.
Who would want to be?
Who would want to be such a control freak?
Well who would want to be?
Who would want to be such a control freak?
Well see what you want to see. You should see it all.
Well take what you want from me. You deserve it all.
Nine times out of ten our hearts just get dissolved.
Well I want a better place or just a better way to fall.
But one time out of ten, everything is perfect for us all.
Well I want a better place or just a better way to fall.
Here we go!
If God controls the land and disease,
Keeps a watchful eye on me,
If he's really so damn mighty,
My problem is I can't see,
Well who would want to be?
Who would want to be such a control freak?
Well who would want to be?
Who would want to be such a control freak?
Evil home stereo, what good songs do you know?
Evil me, oh yeah I know, what good curves can you throw?
Well all that icing and all that cake,
I can't make it to your wedding, but I'm sure I'll be at your wake.
You were talk, talk, talk, talkin' in circles that day,
When you get to the point make sure that I'm still awake, OK?
Went to bed and didn't see
Why every day turns out to be
A little bit more like Bukowski.
And yeah, I know he's a pretty good read.
But God who'd want to be?
God who'd want to be such an asshole?",
26,Jenny Lewis and the Watson Twins,Born Secular,"I was born secular and inconsolable
I heard that he walked, he walked the earth
God goes where he wants
And who knows where he is not
Not in me
It's the way mothers greet their sons
When it's a moment too late
It's the law of the land
That sometimes the dam just breaks
God works in mysterious ways
And God gives and then he takes
From me",
27,The Thermals,Here¡¦s Your Future,"God reached his hand down from the sky
He flooded the land then he set it on fire
He said, ""Fear me again. Know I'm your father.
Remember that no one can breathe underwater""

So bend your knees and bow your heads
Save your babies, here's your future
Yeah, here's your future

God reached his hand down from the sky
God asked Noah if he wanted to die
He said no sir
Oh, no, sir

God said here's your future
It's going to rain
So we're packing our things
We're building a boat
Where God will create the new master race
Cause we're so pure
Oh, we're so pure
So here's your future

God told his son it's time to come home
I promise you won't have to die all alone
I need you to pay for the sins I create
His son said, ""I will but Dad, I'm afriad""

Yeah, so here's your future
Here's your future
Yeah, here's your future
So here's your future
So here's your future
So here's your future",
28,Fucked Up,Son the Father,"Father, father, come see what I've built
Made civilization out of the Nile silt,
Built your monuments out of my brother's bones,
Exalted your words in flesh-bound tomes
It's hard enough being born in the first place,
Who would ever want to be born again?
It's taken this long just to get to this place,
So what's the point in ever being born again?
Papa, papa, come and watch me play
The whole world before me I laid to waste
Built Jerusalem out of these hidden worlds,
But I won't share it with the other boys and girls
More embarrassed than I'd hope to admit,
The living embodiment of perfect.
A reversed Oedipal complex based on power and not on the sex.
Daddy, daddy, are you proud of me?
I did it all for you because of what I believe
The sins of he father carried out by the son
From Cain and Abel until the last living life is done
Again we stand slack-jawed
As our fates are moved by the hand of God
A God is what we see as we stare into his Papal eyes",
29,Satan My Master,Dimmu Borgir,"Satan My Master
I slit my wrists to drain me of my blood
Satan My Master
Up side down I turn the cross of God
Satan My Master
Recieve this sacrifice this blood of mine
Satan My Master
I cut into my rotten flesh your signs
Satan My Master
Remember me when judgement day is near
Satan My Master
Take my hand when Armageddon is here",
30,Satan¡¦s Hunger,Watain,"The winds of darness blow again
ridden by the mares of night
they beckon me in dreams and visions
from far beyond creations light
they sing to me
wrathful beasts of satans fire
they urge me further on my path
now soaked in froth and dark desire
at the threshold of the inverted womb
I stand
Surrounded by darkness
Amidst it's blackened clearness
there is naught to veil my sight
I can behold as they ascend
the malformes horrors of the night
and feel the crosses turn
each sense grow dim as if one with the dead
and as I fall on my knees to the ground
I am fed with the fumes of shallow graves
Into the starless night
I follow the stench
urged on by a thirst
that can not be quenched
into the starless night
I must go
the urge is so strong
it's all that I know
satan's hunger satan's hunger
The luring lament of a witch
the psalmes of angels fallen
the chanting of the undead
they echo in the wind
sanity and senses with the darkness now aligned
like tentacles and angelwings in foulest love entwined
and the graves begins to open
The brightest light will always cast the darkest shadows
shadows in which the truth lies concealed
for deep in the tunnels beyond
the dream of this world
the mysteries truely reveal
Into the starless night
I follow the stench
urged on by a thirst
that can not be quenched
into the starless night
I follow the call
urged on by a lust
that eliminates all
satan's hunger. satan's hunger!",
